Year,Enrolments,Citizenship,State,Institution
2022,27236,Domestic,Victoria,Monash University
2022,35057,International,Victoria,Monash University
2022,47002,Domestic,Victoria,Non-University Higher Education Providers
2022,16536,International,Victoria,Non-University Higher Education Providers
2022,7077,Domestic,Victoria,RMIT University
2022,32857,International,Victoria,RMIT University
2022,39987,Domestic,Victoria,Swinburne University of Technology
2022,11400,International,Victoria,Swinburne University of Technology
2022,29783,Domestic,Victoria,The University of Melbourne
2022,26881,International,Victoria,The University of Melbourne
2022,43265,Domestic,Victoria,University of Divinity
2022,117,International,Victoria,University of Divinity
2022,28124,Domestic,Victoria,University of Tasmania
2022,158080,International,Victoria,University of Tasmania
2022,1270,Domestic,Victoria,Victoria University
2022,11430,International,Victoria,Victoria University
2022,106683,Domestic,Western Australia,Curtin University
2022,12463,International,Western Australia,Curtin University
2022,37615,Domestic,Western Australia,Edith Cowan University
2022,6073,International,Western Australia,Edith Cowan University
2022,22350,Domestic,Western Australia,Murdoch University
2022,8348,International,Western Australia,Murdoch University
2022,12920,Domestic,Western Australia,Non-University Higher Education Providers
2022,4008,International,Western Australia,Non-University Higher Education Providers
2022,1389,Domestic,Western Australia,The University of Notre Dame Australia
2022,342,International,Western Australia,The University of Notre Dame Australia
2022,11462,Domestic,Western Australia,The University of Western Australia
2022,5416,International,Western Australia,The University of Western Australia
2022,18346,Domestic,Western Australia,Victoria University
2022,36650,International,Western Australia,Victoria University
2023,1235,Domestic,Australian Capital Territory,Non-University Higher Education Providers
2023,42,International,Australian Capital Territory,Non-University Higher Education Providers
2023,14517,Domestic,Australian Capital Territory,The Australian National University
2023,9734,International,Australian Capital Territory,The Australian National University
2023,12746,Domestic,Australian Capital Territory,University of Canberra
2023,4401,International,Australian Capital Territory,University of Canberra
2023,20329,Domestic,Grand Total,The University of Western Australia
2023,524642,International,Grand Total,The University of Western Australia
2023,28163,Domestic,Multi-State,Australian Catholic University
2023,4118,International,Multi-State,Australian Catholic University
2023,2445,Domestic,Multi-State,Non-University Higher Education Providers
2023,111,International,Multi-State,Non-University Higher Education Providers
2023,963,Domestic,New South Wales,Avondale University
2023,75,International,New South Wales,Avondale University
2023,31383,Domestic,New South Wales,Charles Sturt University
2023,3397,International,New South Wales,Charles Sturt University
2023,34023,Domestic,New South Wales,Macquarie University
2023,10194,International,New South Wales,Macquarie University
2023,45781,Domestic,New South Wales,Non-University Higher Education Providers
2023,37831,International,New South Wales,Non-University Higher Education Providers
2023,13137,Domestic,New South Wales,Southern Cross University
2023,4108,International,New South Wales,Southern Cross University
